상품ID,상품명,가격,카테고리,설명,상품URL
P001,스테인리스 텀블러 500ml,8000,주방용품,이중 진공 구조로 보온 보냉이 6시간 유지되는 스테인리스 텀블러. 세척이 쉬운 넓은 입구와 밀폐 뚜껑 포함,https://demo-shop.local/products/P001
P002,실리콘 주방장갑,3000,주방용품,250도까지 견디는 내열 실리콘 주방장갑. 오븐 에어프라이어 요리 시 화상 방지. 미끄럼 방지 돌기,https://demo-shop.local/products/P002
P003,유리 밀폐용기 3종 세트,12000,주방용품,전자레인지 오븐 사용 가능한 내열유리 밀폐용기. 4면 잠금 뚜껑으로 국물도 새지 않음. 냉동 보관 가능,https://demo-shop.local/products/P003
P004,논슬립 옷걸이 20개입,5000,생활용품,벨벳 코팅으로 니트나 블라우스가 흘러내리지 않는 논슬립 옷걸이. 얇은 두께로 옷장 공간 절약,https://demo-shop.local/products/P004
P005,극세사 청소포 10매,4000,생활용품,물만으로도 기름때가 닦이는 극세사 청소포. 세탁 후 반복 사용 가능. 흠집 없이 유리 거울 청소 가능,https://demo-shop.local/products/P005
P006,LED 무드등,9900,생활용품,터치로 밝기 3단계 조절되는 충전식 LED 무드등. 따뜻한 전구색으로 수면등 수유등으로 적합. USB-C 충전,https://demo-shop.local/products/P006
P007,중성펜 0.5mm 10자루 세트,3500,문구,부드럽게 써지는 저점도 잉크 중성펜. 빠르게 말라 번짐 없음. 검정 파랑 빨강 혼합 구성,https://demo-shop.local/products/P007
P008,A5 스프링 노트 3권,4500,문구,180도로 펼쳐지는 트윈 스프링 노트. 80g 미색 용지로 뒷비침 적음. 줄노트 무지 격자 각 1권,https://demo-shop.local/products/P008
P009,데스크 정리함,7000,문구,펜 메모지 클립을 한 번에 정리하는 5칸 데스크 정리함. 서랍 1개 포함. 무광 화이트,https://demo-shop.local/products/P009
P010,욕실 미끄럼방지 매트,6500,욕실용품,흡착판으로 바닥에 고정되는 미끄럼방지 욕실 매트. 배수 구멍으로 물빠짐 원활. 노약자 안전용,https://demo-shop.local/products/P010
P011,샤워기 헤드 필터형,11000,욕실용품,녹물과 염소를 걸러주는 필터 내장 샤워기 헤드. 수압 상승 효과. 필터 교체 주기 약 3개월,https://demo-shop.local/products/P011
P012,칫솔 살균기 벽걸이형,15000,욕실용품,UV-C LED로 칫솔을 살균하는 벽걸이형 살균기. 4인 가족용 4구. USB 충전식 무타공 부착,https://demo-shop.local/products/P012
P013,리빙박스 40L 접이식,8900,수납정리,사용하지 않을 때 납작하게 접어 보관하는 40L 리빙박스. 투명창으로 내용물 확인 가능. 이불 옷 수납,https://demo-shop.local/products/P013
P014,틈새 수납 선반 3단,13000,수납정리,폭 17cm 좁은 틈새에 들어가는 바퀴 달린 3단 수납 선반. 냉장고 옆 세탁기 옆 공간 활용,https://demo-shop.local/products/P014
P015,압축팩 점보 4매,7500,수납정리,이불 부피를 최대 75% 줄여주는 진공 압축팩. 청소기 없이 손으로 말아 압축하는 방식. 지퍼 이중 밀폐,https://demo-shop.local/products/P015
P016,캠핑 접이식 의자,19900,레저,알루미늄 프레임으로 1.1kg 초경량 접이식 캠핑 의자. 수납 가방 포함. 최대 하중 120kg,https://demo-shop.local/products/P016
P017,보냉 피크닉 가방 25L,14000,레저,알루미늄 단열재로 6시간 보냉되는 대용량 피크닉 가방. 어깨끈 포함. 4인 가족 나들이용,https://demo-shop.local/products/P017
P018,휴대용 미니 선풍기,9000,레저,한 손에 잡히는 휴대용 선풍기. 3단 풍량 조절과 스탠드 겸용. 완충 시 최대 8시간 사용,https://demo-shop.local/products/P018
P019,반려동물 배변패드 50매,10000,반려동물,흡수력 강화 5겹 구조 배변패드. 소취 성분으로 냄새 잡음. 표준형 50매입,https://demo-shop.local/products/P019
P020,고양이 낚싯대 장난감,4900,반려동물,깃털과 방울이 달린 고양이 낚싯대 장난감. 길이 조절 가능한 스틱. 교체용 깃털 1개 포함,https://demo-shop.local/products/P020
